x,UF0874,UF0887,UF2727,UF5714,UF0892,UF1221,UF1223,UF1224,UF0870,UF0871,UF1226,UF0872
UF0874,1,0.882,0.514,0,0.749,0.41700000000000004,0.31999999999999995,0.31999999999999995,0.75,0.75,0.41700000000000004,0.75
UF0887,0.882,1,0.514,0,0.749,0.41700000000000004,0.31999999999999995,0.31999999999999995,0.75,0.75,0.41700000000000004,0.75
UF2727,0.514,0.514,1,0,0.41700000000000004,0.514,0.41700000000000004,0.41700000000000004,0.514,0.514,0.514,0.514
UF5714,0,0,0,1,0,0,0,0,0,0,0,0
UF0892,0.749,0.749,0.41700000000000004,0,1,0.31999999999999995,0.22299999999999998,0.22299999999999998,0.879,0.879,0.31999999999999995,0.879
UF1221,0.41700000000000004,0.41700000000000004,0.514,0,0.31999999999999995,1,0.8160000000000001,0.8160000000000001,0.41700000000000004,0.41700000000000004,0.7150000000000001,0.41700000000000004
UF1223,0.31999999999999995,0.31999999999999995,0.41700000000000004,0,0.22299999999999998,0.8160000000000001,1,0.88,0.31999999999999995,0.31999999999999995,0.643,0.31999999999999995
UF1224,0.31999999999999995,0.31999999999999995,0.41700000000000004,0,0.22299999999999998,0.8160000000000001,0.88,1,0.31999999999999995,0.31999999999999995,0.643,0.31999999999999995
UF0870,0.75,0.75,0.514,0,0.879,0.41700000000000004,0.31999999999999995,0.31999999999999995,1,0.878,0.41700000000000004,0.878
UF0871,0.75,0.75,0.514,0,0.879,0.41700000000000004,0.31999999999999995,0.31999999999999995,0.878,1,0.41700000000000004,0.878
UF1226,0.41700000000000004,0.41700000000000004,0.514,0,0.31999999999999995,0.7150000000000001,0.643,0.643,0.41700000000000004,0.41700000000000004,1,0.41700000000000004
UF0872,0.75,0.75,0.514,0,0.879,0.41700000000000004,0.31999999999999995,0.31999999999999995,0.878,0.878,0.41700000000000004,1
